time_total,speed_download,time_starttransfer,time_appconnect,time_connect
0.648817,3232270,0.053661,0.024765,0.012907
0.650977,3221545,0.051805,0.028115,0.010326
0.653273,3210222,0.059219,0.037945,0.003984
0.696663,3010281,0.057626,0.024709,0.017894
0.687117,3052103,0.058547,0.037108,0.004476
0.700930,2991956,0.054061,0.024432,0.013685
0.698246,3003457,0.057720,0.034415,0.006957
0.723753,2897607,0.058214,0.024498,0.018719
0.714616,2934655,0.057478,0.035302,0.005531
0.730824,2869571,0.059953,0.025503,0.020776
0.713275,2940173,0.060556,0.039015,0.001546
0.727791,2881530,0.054841,0.024497,0.014616
0.716120,2928492,0.061524,0.039538,0.001075
0.722283,2903504,0.058373,0.035277,0.006508
0.724935,2892882,0.055227,0.032443,0.007429
0.732507,2862978,0.051669,0.029863,0.009397
0.745742,2812168,0.056967,0.024923,0.017076
0.746246,2810268,0.055863,0.024788,0.015814
0.743148,2821984,0.053122,0.025173,0.012125
0.742880,2823002,0.052684,0.025648,0.011481
0.740138,2833460,0.053056,0.031525,0.007945
0.744446,2817063,0.052670,0.031160,0.008931
0.742284,2825269,0.059855,0.038386,0.002113
0.746457,2809474,0.094840,0.071764,0.005967
0.742528,2824340,0.097566,0.072137,0.000651
0.746289,2810107,0.099408,0.072479,0.003031
0.748685,2801113,0.057643,0.036267,0.004956
0.757916,2766997,0.199689,0.071272,0.003525
0.761977,2752251,0.059204,0.037816,0.002612
0.770466,2721926,0.158892,0.116507,0.008394
